brand;brands_id;model;models_id;market_price;year
TOYOTA;11;Camry;66;999050;2015
KIA;28;Sorento;750;982800;2015
TOYOTA;11;LC200;2497;970000;2013
TOYOTA;11;Land Cruiser 200;2767;970000;2012
NISSAN;9;Patrol;82;950000;2011
TOYOTA;11;Land cruiser;70;950000;2013
TOYOTA;11;Land cruiser;70;950000;2013
TOYOTA;11;RAV-4;67;950000;2014
TOYOTA;11;Avensis;65;916760;2015
TOYOTA;11;Land Cruiser Prado;69;910000;2013
KIA;28;Sorento;750;906048;2015
KIA;28;Sorento;750;902000;2015
TOYOTA;11;RAV-4;67;900000;2014
TOYOTA;11;RAV-4;67;900000;2014
TOYOTA;11;HighLander;859;900000;2013
KIA;28;Sorento;750;881100;2014
TOYOTA;11;Land Cruiser Prado;69;870000;2013
NISSAN;9;X-Trail;80;862755;2014
KIA;28;Sorento;750;861000;2015
KIA;28;Sorento;750;861000;2015
TOYOTA;11;PRADO;1509;855713;2014
KIA;28;Sorento;750;850668;2015
CHEVROLET;6;Camaro;2223;850000;2012
TOYOTA;11;PRADO;1509;850000;2014
TOYOTA;11;RAV-4;67;850000;2014
TOYOTA;11;Sienna;871;850000;2012
TOYOTA;11;RAV-4;67;840000;2014
KIA;28;Sorento;750;840000;2013
TOYOTA;11;LAND CRUISER 150 PRADO;3080;830000;2014
KIA;28;Sorento;750;830000;2014
KIA;28;Sorento;750;810000;2013
TOYOTA;11;HighLander;859;806086;2014
KIA;28;Sorento;750;803700;2013
KIA;28;Sorento;750;803700;2013
TOYOTA;11;HighLander;859;800000;2014
TOYOTA;11;Land Cruiser 150;2885;796509;2014
TOYOTA;11;PRADO;1509;790000;2014
NISSAN;9;Murano;79;768869;2013
CHEVROLET;6;CAPTIVA;85;765600;2014
CHEVROLET;6;CAPTIVA;85;765600;2014
CHEVROLET;6;CAPTIVA;85;765600;2014
CHEVROLET;6;CAPTIVA;85;765600;2014
TOYOTA;11;HighLander;859;765368;2014
KIA;28;Sorento;750;761900;2013
NISSAN;9;Murano;79;750000;2013
TOYOTA;11;RAV-4;67;750000;2013
KIA;28;Sorento;750;750000;2013
KIA;28;Sorento;750;750000;2014
KIA;28;Sorento;750;729300;2014
KIA;28;Mohave;1182;720000;2011
KIA;28;Mohave;1182;720000;2012
KIA;28;Sportage;751;711000;2015
KIA;28;Sportage;751;711000;2015
CHEVROLET;6;CAPTIVA;85;700000;2013
OPEL;8;Antara;198;700000;2013
OPEL;8;Insignia;1142;700000;2013
TOYOTA;11;RAV-4;67;700000;2014
TOYOTA;11;RAV-4;67;700000;2013
TOYOTA;11;RAV-4;67;700000;2013
KIA;28;Mohave;1182;700000;2012
KIA;28;Sorento;750;700000;2014
KIA;28;Sorento;750;696150;2014
NISSAN;9;Qashqai;78;690910;2015
NISSAN;9;Qashqai;78;690910;2015
KIA;28;Sportage;751;690800;2014
TOYOTA;11;Land Cruiser 150;2885;690000;2013
TOYOTA;11;HighLander;859;685000;2014
KIA;28;Sportage;751;683892;2014
CHEVROLET;6;CAPTIVA;85;680000;2013
CHEVROLET;6;CAPTIVA;85;680000;2013
TOYOTA;11;RAV-4;67;680000;2013
NISSAN;9;Qashqai;78;676000;2014
NISSAN;9;Qashqai;78;670320;2015
OPEL;8;Insignia;1142;670000;2012
TOYOTA;11;HighLander;859;670000;2014
TOYOTA;11;RAV-4;67;670000;2014
TOYOTA;11;RAV-4;67;670000;2014
TOYOTA;11;RAV-4;67;670000;2014
